image,xmin,ymin,xmax,ymax
ISIC_0000034_downsampled,0.23518053,0.34758317,0.8342999,0.7058091
ISIC_0000035_downsampled,0.09202627,0.17636149,0.90861726,0.8193779
ISIC_0000036_downsampled,0.054535992,0.15767838,0.88929,0.8781194
ISIC_0000037_downsampled,0.13093199,0.16680914,0.88742644,0.7970996
ISIC_0000038_downsampled,0.057553448,0.23265553,0.91171294,0.8028263
ISIC_0000039_downsampled,0.23074901,0.28338334,0.71880764,0.74458724
ISIC_0000040_downsampled,0.21085723,0.2652992,0.74936306,0.73067915
ISIC_0000041_downsampled,0.2905286,0.3253901,0.5521356,0.643456
ISIC_0000042_downsampled,0.20212927,0.19926073,0.7883241,0.82915956
ISIC_0000043_downsampled,0.11274522,0.21710621,0.8144363,0.8480203
ISIC_0000044_downsampled,0.06717356,0.17117321,0.89783037,0.8068904
ISIC_0000045_downsampled,0.13967995,0.12180766,0.73587966,0.7168833
ISIC_0000046_downsampled,0.09474197,0.20936847,0.862591,0.80725807
ISIC_0000047_downsampled,0.18783186,0.26763782,0.6858206,0.7437471
ISIC_0000048_downsampled,0.26438174,0.30778506,0.5740322,0.7506441
ISIC_0000049_downsampled,0.09117351,0.11379267,0.913377,0.86487025
ISIC_0000050_downsampled,0.18761538,0.23819168,0.8861378,0.7376781
ISIC_0000051_downsampled,0.17081736,0.2449427,0.8109174,0.79530716
ISIC_0000052_downsampled,0.12568696,0.1368082,0.9361108,0.87267286
ISIC_0000053_downsampled,0.060231812,0.1555742,0.8055945,0.8425925
ISIC_0000054_downsampled,0.22047482,0.29327902,0.73575026,0.7967683
ISIC_0000055_downsampled,0.267188,0.16913174,0.9355496,0.88455564
ISIC_0000056_downsampled,0.21266368,0.16380236,0.92111564,0.8040291
ISIC_0000057_downsampled,0.27483475,0.34440628,0.68672097,0.84121823
ISIC_0000058_downsampled,0.16835138,0.17847446,0.82970357,0.80627644
ISIC_0000059_downsampled,0.10869106,0.2122265,0.8309965,0.8045619
ISIC_0000060_downsampled,0.07570316,0.18319423,0.76277745,0.86156136
ISIC_0000061_downsampled,0.19466503,0.25523078,0.7974219,0.8099979
ISIC_0000062_downsampled,0.33398828,0.32566985,0.59589434,0.7059848
ISIC_0000063_downsampled,0.1496216,0.21170679,0.7910373,0.8698703
ISIC_0000064_downsampled,0.16620114,0.24344335,0.75082564,0.83562714
ISIC_0000065_downsampled,0.10262102,0.33007762,0.9020513,0.6968124
ISIC_0000066,0.05151185,0.16470091,0.86546046,0.8221853
ISIC_0000067,0.14900212,0.21230887,0.63377416,0.7859861
ISIC_0000068,0.08794739,0.26487264,0.82426685,0.79399157
ISIC_0000069,0.22683938,0.33002374,0.7005001,0.67105365
ISIC_0000071,0.19436803,0.32139462,0.6897459,0.6550137
ISIC_0000072,0.31221876,0.34381682,0.6460451,0.73087245
ISIC_0000073,0.11708099,0.25921884,0.8743823,0.7446815
ISIC_0000074,0.09392617,0.17842995,0.9313797,0.74523026
ISIC_0000075,0.061602294,0.13392754,0.9262282,0.85681856
ISIC_0000077_downsampled,0.1797576,0.23713394,0.8040569,0.87426794
ISIC_0000078_downsampled,0.3327922,0.33799395,0.6751904,0.7010215
ISIC_0000079_downsampled,0.3288544,0.37839916,0.656626,0.6446352
ISIC_0000080_downsampled,0.25099155,0.29780826,0.72835034,0.7084669
ISIC_0000081_downsampled,0.27360883,0.31566542,0.802927,0.74684167
ISIC_0000082_downsampled,0.2546663,0.1747046,0.75695586,0.77513134
ISIC_0000085_downsampled,0.34902126,0.3338324,0.72602344,0.7176491
ISIC_0000086_downsampled,0.1396374,0.29791316,0.82247674,0.6722115
ISIC_0000087_downsampled,0.11517618,0.2241319,0.9300874,0.725188
ISIC_0000088_downsampled,0.24854346,0.2170333,0.7094575,0.7686168
ISIC_0000089_downsampled,0.35512358,0.26751515,0.65204096,0.77941215
ISIC_0000091_downsampled,0.2934861,0.29237738,0.64209265,0.7050247
ISIC_0000092_downsampled,0.3377493,0.3448391,0.7155472,0.6120366
ISIC_0000093_downsampled,0.35328946,0.36401558,0.6891972,0.68584085
ISIC_0000094_downsampled,0.3962681,0.38695404,0.7144712,0.61687386
ISIC_0000095_downsampled,0.3635459,0.3424354,0.6411896,0.67223704
ISIC_0000096_downsampled,0.4614956,0.3667273,0.8107884,0.67090034
ISIC_0000097_downsampled,0.18800496,0.20701694,0.83706325,0.7114059
ISIC_0000098_downsampled,0.3714567,0.406883,0.59248394,0.5641523
ISIC_0000099_downsampled,0.10373185,0.2630193,0.86792904,0.75059533
ISIC_0000100_downsampled,0.23195456,0.16818365,0.78475267,0.82025814
ISIC_0000101_downsampled,0.2155957,0.14595202,0.79834956,0.8247912
ISIC_0000102_downsampled,0.39989367,0.40481493,0.60046387,0.60056436
ISIC_0000103_downsampled,0.06842651,0.1699178,0.7484742,0.7696168
ISIC_0000104_downsampled,0.24081933,0.27752176,0.7816499,0.71040463
ISIC_0000105_downsampled,0.33377606,0.31975353,0.616194,0.5893496
ISIC_0000107_downsampled,0.23668242,0.16977118,0.68767834,0.7593882
ISIC_0000108_downsampled,0.32406598,0.29770142,0.80156493,0.70034075
ISIC_0000109_downsampled,0.09942426,0.17744873,0.80586153,0.84609
ISIC_0000110_downsampled,0.3235184,0.33816943,0.6820489,0.5836214
ISIC_0000111_downsampled,0.051414993,0.18757229,0.94974214,0.84428847
ISIC_0000112_downsampled,0.26887852,0.25765714,0.73886514,0.6490064
ISIC_0000113_downsampled,0.24541222,0.28428906,0.6923314,0.66778505
ISIC_0000114_downsampled,0.4317316,0.4510717,0.6294688,0.64686984
ISIC_0000115_downsampled,0.34618366,0.24637447,0.72219884,0.82276493
ISIC_0000116_downsampled,0.13590282,0.23617068,0.7652528,0.79348123
ISIC_0000117_downsampled,0.33259544,0.23588958,0.8360959,0.6706054
ISIC_0000118_downsampled,0.38604668,0.38645136,0.6716441,0.6876575
ISIC_0000119_downsampled,0.33717442,0.2511489,0.6962386,0.7571204
ISIC_0000120_downsampled,0.1550207,0.15243815,0.80007356,0.8478538
ISIC_0000121_downsampled,0.19287513,0.27220154,0.72938544,0.805174
ISIC_0000122_downsampled,0.17872322,0.24379483,0.9065089,0.77526
ISIC_0000123_downsampled,0.24707627,0.27078658,0.8335954,0.6845773
ISIC_0000124_downsampled,0.26816663,0.21385078,0.7238933,0.7850049
ISIC_0000125_downsampled,0.46667576,0.43557546,0.5916905,0.5546166
ISIC_0000126_downsampled,0.22597578,0.25960562,0.75510275,0.7471838
ISIC_0000127_downsampled,0.07575,0.16448952,0.8475519,0.7852224
ISIC_0000128_downsampled,0.29599202,0.3066418,0.7285832,0.69180155
ISIC_0000129_downsampled,0.40196925,0.3473451,0.6906719,0.71646774
ISIC_0000130_downsampled,0.23196845,0.24009743,0.7369654,0.7461623
ISIC_0000131_downsampled,0.24209647,0.17542265,0.73769087,0.6706392
ISIC_0000132_downsampled,0.3927468,0.29140624,0.60385686,0.5220434
ISIC_0000133_downsampled,0.37326685,0.28906703,0.7492152,0.6808154
ISIC_0000134_downsampled,0.42120376,0.31585142,0.64520025,0.7089397
ISIC_0000135_downsampled,0.33379936,0.35664755,0.67462456,0.6949893
ISIC_0000136_downsampled,0.061885107,0.1688635,0.8693592,0.8112712
ISIC_0000137_downsampled,0.22593236,0.26734826,0.8746929,0.68404007
ISIC_0000138_downsampled,0.3379906,0.32001978,0.7647995,0.7367394
ISIC_0000139_downsampled,0.2586423,0.23180392,0.7808249,0.755674
ISIC_0000140_downsampled,0.24389899,0.16656767,0.87614566,0.82020414
ISIC_0000141_downsampled,0.25801966,0.3390964,0.8175397,0.69926775
ISIC_0000142_downsampled,0.23855542,0.24051233,0.8217806,0.81502986
ISIC_0000143_downsampled,0.20082317,0.30135804,0.7497612,0.75713766
ISIC_0000145_downsampled,0.24320558,0.17607312,0.74686575,0.77225184
ISIC_0000146_downsampled,0.17767744,0.18964021,0.81438035,0.7745803
ISIC_0000147_downsampled,0.15928039,0.14641786,0.8790201,0.8407827
ISIC_0000148_downsampled,0.35048646,0.25651902,0.7124681,0.71588194
ISIC_0000149_downsampled,0.19650897,0.13217689,0.9458704,0.81402737
ISIC_0000150_downsampled,0.09826505,0.22948073,0.8220768,0.7895118
ISIC_0000151_downsampled,0.29031304,0.32583717,0.6971568,0.60481834
ISIC_0000152_downsampled,0.31145248,0.18590598,0.77150434,0.7051724
ISIC_0000153_downsampled,0.18742298,0.22181606,0.78560346,0.76747465
ISIC_0000154_downsampled,0.36604506,0.2944409,0.7434157,0.6435319
ISIC_0000155_downsampled,0.16729584,0.15230809,0.88461363,0.8560112
ISIC_0000156_downsampled,0.20561185,0.16466384,0.7442404,0.8280953
ISIC_0000157,0.23881571,0.25616923,0.77181685,0.7998496
ISIC_0000159,0.27856755,0.1865438,0.8705345,0.85158443
ISIC_0000160,0.052479357,0.14927672,0.96663,0.8367197
ISIC_0000161,0.15834104,0.1733565,0.8980389,0.8258759
ISIC_0000162,0.1482313,0.18548758,0.83091605,0.76099014
ISIC_0000163,0.16205727,0.27005076,0.808577,0.7139915
ISIC_0000164,0.21992896,0.29615507,0.79977363,0.79763305
ISIC_0000165,0.4453829,0.2584254,0.8406575,0.5862231
ISIC_0000166,0.112098694,0.1248721,0.87438804,0.8397166
ISIC_0000167,0.27571473,0.17999148,0.7351259,0.70643157
ISIC_0000169,0.18826663,0.21331277,0.8417656,0.7878331
ISIC_0000170,0.19849019,0.21268563,0.9711667,0.70044726
ISIC_0000171,0.11316144,0.20536362,0.83715177,0.84014213
ISIC_0000172,0.23294137,0.2127589,0.8273095,0.82428926
ISIC_0000173,0.08334863,0.18646458,0.8497588,0.7626388
ISIC_0000174,0.16009009,0.2650861,0.8738847,0.8041891
ISIC_0000175,0.25573552,0.25689635,0.6944351,0.7627729
ISIC_0000176_downsampled,0.25774437,0.20168972,0.7530626,0.6137457
ISIC_0000177_downsampled,0.29348704,0.28769928,0.66395015,0.5726361
ISIC_0000179_downsampled,0.16337942,0.22245684,0.9396507,0.8002646
ISIC_0000181_downsampled,0.43950462,0.20172714,0.84356916,0.75564563
ISIC_0000182_downsampled,0.26436302,0.26360816,0.7706857,0.75653243
ISIC_0000183_downsampled,0.15579994,0.20549782,0.7793468,0.8307084
ISIC_0000184_downsampled,0.15367024,0.22779174,0.8873299,0.7778136
ISIC_0000185_downsampled,0.20438121,0.28704673,0.6939878,0.8139195
ISIC_0000186_downsampled,0.3542202,0.31695414,0.6587559,0.6022288
ISIC_0000187,0.081873074,0.11606806,0.9698203,0.8648532
ISIC_0000188_downsampled,0.16470483,0.17116924,0.9773127,0.8540159
ISIC_0000189_downsampled,0.24509834,0.2492672,0.8323203,0.83138716
ISIC_0000190,0.052699305,0.14698742,0.9061709,0.8744453
ISIC_0000191_downsampled,0.34528023,0.32939714,0.7595396,0.68320966
ISIC_0000192_downsampled,0.074617125,0.2107455,0.86509365,0.7799536
ISIC_0000193_downsampled,0.17071372,0.30322275,0.78088963,0.6994945
ISIC_0000195_downsampled,0.07686078,0.2129759,0.9394575,0.8317168
ISIC_0000196_downsampled,0.26922885,0.26013547,0.7859832,0.8304155
ISIC_0000197_downsampled,0.32971573,0.24200621,0.834044,0.8482543
ISIC_0000198,0.2680184,0.25166503,0.75295615,0.7100952
ISIC_0000199,0.17486805,0.2453444,0.7972963,0.78164977
ISIC_0000200,0.2441759,0.24854887,0.75239813,0.6661937
ISIC_0000201_downsampled,0.29529038,0.32979602,0.74183923,0.67484975
ISIC_0000202_downsampled,0.040408302,0.17800875,0.9518701,0.8432482
ISIC_0000203_downsampled,0.03672685,0.14179139,0.9748933,0.8440355
ISIC_0000204_downsampled,0.1442664,0.16263805,0.80973125,0.83840317
ISIC_0000205_downsampled,0.06872461,0.16118906,0.930888,0.80522656
ISIC_0000206_downsampled,0.22641201,0.3364972,0.74695736,0.7256777
ISIC_0000207_downsampled,0.04406365,0.17080587,0.97352767,0.82152444
ISIC_0000208_downsampled,0.14787519,0.1481722,1.0014341,0.83970016
ISIC_0000209,0.06533031,0.12058289,0.89324856,0.84632754
ISIC_0000210,0.3626599,0.3708119,0.6740399,0.6432225
ISIC_0000211,0.30104867,0.31732497,0.66601574,0.64813673
ISIC_0000212,0.053259503,0.15354684,0.94861627,0.8441305
ISIC_0000213,0.07517677,0.26390225,0.86122537,0.79375076
ISIC_0000214,0.21537118,0.2893565,0.9361312,0.69677466
ISIC_0000215,0.03680912,0.15831596,0.90072393,0.83173877
ISIC_0000216,0.20691216,0.22434402,0.91732126,0.8027918
ISIC_0000217,0.07827514,0.16848344,0.85572505,0.77613056
ISIC_0000218_downsampled,0.18598366,0.32274032,0.72969544,0.6651149
ISIC_0000219,0.107275605,0.17438929,0.81538665,0.73019946
ISIC_0000220,0.24092202,0.37545893,0.62858313,0.6827413
ISIC_0000221,0.36420673,0.30692348,0.75301695,0.6647968
ISIC_0000222,0.09256857,0.17899154,0.88111067,0.81031984
ISIC_0000223,0.060044553,0.25349367,0.95648646,0.776587
ISIC_0000224,0.119600795,0.18079783,0.8526155,0.83302087
ISIC_0000225,0.26772103,0.3855581,0.60251844,0.72171175
ISIC_0000226,0.1353158,0.19547355,0.8000287,0.7674621
ISIC_0000227,0.33723047,0.33392304,0.78902435,0.72584236
ISIC_0000228,0.08660432,0.2799314,0.8093965,0.7797089
ISIC_0000229,0.07315894,0.2209668,0.9066838,0.7567081
ISIC_0000230,0.048667442,0.19451892,0.9223304,0.84793264
ISIC_0000231,0.3030379,0.15062408,0.82235074,0.77227926
ISIC_0000232,0.28147402,0.2709919,0.6748185,0.6790918
ISIC_0000233,0.04353851,0.19478007,0.96046746,0.85100156
ISIC_0000234,0.08093981,0.18734358,0.7255775,0.747662
ISIC_0000235,0.07788009,0.15563528,0.86853004,0.87866884
ISIC_0000236,0.052143004,0.15825309,0.8428806,0.7968536
ISIC_0000237,0.118546404,0.20468406,0.7762328,0.7733971
ISIC_0000239,0.16266821,0.22434373,0.86249393,0.7951173
ISIC_0000240,0.29666525,0.28915283,0.74328625,0.6955995
ISIC_0000242,0.07770977,0.24138455,0.9229351,0.7412287
ISIC_0000243,0.16301523,0.12826277,0.76788807,0.90421593
ISIC_0000244,0.13527715,0.17559507,0.68928576,0.81028104
ISIC_0000245,0.09492276,0.1905757,0.8937657,0.804436
ISIC_0000246,0.063195184,0.1468953,0.85906935,0.8604961
ISIC_0000247,0.3450764,0.29816845,0.6459676,0.6490309
ISIC_0000249,0.19035214,0.34559166,0.7884652,0.795043
ISIC_0000250,0.13970338,0.23173507,0.8432694,0.7048793
ISIC_0000251,0.33322048,0.36310133,0.69488025,0.6538799
ISIC_0000252,0.2517045,0.20474677,0.72245693,0.7481535
ISIC_0000253,0.3304877,0.27154955,0.62870175,0.6224691
ISIC_0000254,0.23168452,0.28571963,0.7221844,0.68115187
ISIC_0000255,0.18074423,0.29538563,0.7437051,0.6745505
ISIC_0000256,0.38195786,0.33106166,0.6246384,0.6439545
ISIC_0000258,0.059888173,0.27875894,0.84589463,0.86387646
ISIC_0000259,0.036020998,0.11842354,0.97006774,0.8700197
ISIC_0000260,0.23463193,0.25945228,0.68797576,0.6837942
ISIC_0000261,0.35856506,0.3461135,0.6511876,0.63811165
ISIC_0000262,0.39130744,0.35925782,0.6795584,0.6432657
ISIC_0000263,0.2010206,0.27641907,0.6812959,0.7691055
ISIC_0000264,0.058875173,0.19559988,0.90480924,0.7632618
ISIC_0000265,0.30958366,0.22996159,0.7747414,0.78057414
ISIC_0000268,0.056412723,0.2755719,0.95659393,0.86494136
ISIC_0000269,0.253784,0.2626044,0.68620574,0.7470969
ISIC_0000271,0.21247669,0.34046996,0.7149423,0.73936033
ISIC_0000274,0.096198976,0.27630454,0.8543595,0.7627331
ISIC_0000275,0.4011376,0.30095306,0.6988378,0.7629745
ISIC_0000276,0.16010083,0.09151278,0.85885894,0.8667608
ISIC_0000277,0.09049011,0.16077939,0.8454665,0.8560144
ISIC_0000278,0.056079138,0.17055547,0.84595364,0.75764686
ISIC_0000279,0.047306385,0.13858311,0.9041123,0.8602359
ISIC_0000281,0.13466638,0.25233364,0.92242444,0.8663458
ISIC_0000282,0.12122624,0.096648656,0.8449818,0.846352
ISIC_0000283,0.18594596,0.24017167,0.7783909,0.73888135
ISIC_0000285,0.050372895,0.13712972,0.85040283,0.8892961
ISIC_0000287,0.10200804,0.2623988,0.923242,0.7810948
ISIC_0000288,0.031135583,0.09380492,0.973353,0.87155473
ISIC_0000289,0.05111283,0.11285227,0.91457146,0.8381874
ISIC_0000290,0.049624074,0.13543686,0.9407618,0.82197917
ISIC_0000292,0.050439257,0.13928245,0.877611,0.85491186
ISIC_0000293,0.068234324,0.12202293,0.9618718,0.865499
ISIC_0000294,0.03528464,0.14328709,0.95631987,0.814263
ISIC_0000295,0.05174469,0.11633891,0.9392164,0.8799828
ISIC_0000297,0.3199207,0.22922254,0.6744851,0.5632138
ISIC_0000298,0.28586936,0.4313402,0.6885123,0.7785973
ISIC_0000299,0.052263487,0.1163365,0.9118842,0.8286004
ISIC_0000300,0.056922603,0.12906662,0.738752,0.8701575
ISIC_0000301,0.04028603,0.116738774,0.95431703,0.86496735
ISIC_0000302,0.039151624,0.10034907,0.9374341,0.85335
ISIC_0000303,0.053958066,0.13302873,0.9698115,0.8881306
ISIC_0000306,0.251965,0.30645972,0.6772599,0.726497
ISIC_0000307,0.04524152,0.10163198,0.9310414,0.85589296
ISIC_0000310,0.043103244,0.1154316,0.9221746,0.87614787
ISIC_0000311,0.03803348,0.14205067,0.96431696,0.87413406
ISIC_0000313,0.29755926,0.29801032,0.8573899,0.72576934
ISIC_0000314,0.18735485,0.20634834,0.8071544,0.7558352
ISIC_0000315,0.24469581,0.22022231,0.67975235,0.6609421
ISIC_0000316,0.21189228,0.19226776,0.77164364,0.82656956
ISIC_0000317,0.31740952,0.33242008,0.4860869,0.5579958
ISIC_0000319,0.25751492,0.29654852,0.693486,0.65910333
ISIC_0000320,0.18484384,0.1731659,0.79077506,0.816313
ISIC_0000321,0.1419993,0.13353257,0.8717294,0.71990466
ISIC_0000322,0.09713415,0.21786876,0.7768241,0.6747385
ISIC_0000323,0.2889193,0.28129882,0.63025254,0.5584129
ISIC_0000324,0.20173739,0.18572848,0.78682625,0.8070904
ISIC_0000325,0.16480133,0.20119682,0.7402383,0.70496404
ISIC_0000326,0.28916597,0.30149513,0.66862583,0.75324774
ISIC_0000327,0.24462283,0.26805457,0.691324,0.6332563
ISIC_0000328,0.20694919,0.15451919,0.8035824,0.78006583
ISIC_0000329,0.26921803,0.27550521,0.63354146,0.67318666
ISIC_0000330,0.2838634,0.22225617,0.7745057,0.5902292
ISIC_0000331,0.14965974,0.2839212,0.7422751,0.83439887
ISIC_0000332,0.27192578,0.22271393,0.6602892,0.6000012
ISIC_0000333,0.21958123,0.15642689,0.6773603,0.73247576
ISIC_0000336,0.24012609,0.26785514,0.6260633,0.64819586
ISIC_0000337,0.15645215,0.14720173,0.872257,0.83777225
ISIC_0000338,0.2678505,0.3214611,0.6570282,0.7710502
ISIC_0000339,0.2996504,0.21545942,0.6793283,0.57170063
ISIC_0000340,0.31653005,0.34132612,0.66162753,0.7825114
ISIC_0000341,0.2456793,0.18069248,0.75770855,0.70184845
ISIC_0000342,0.21345694,0.27721244,0.67912394,0.6593471
ISIC_0000343,0.06917264,0.25124702,0.6833109,0.8162544
ISIC_0000344,0.10510464,0.1956631,0.83283937,0.83792305
ISIC_0000345,0.34785038,0.35373148,0.5612464,0.5804352
ISIC_0000346,0.24909149,0.2833264,0.73598033,0.7969485
ISIC_0000347,0.2512022,0.3573769,0.5690224,0.66503495
ISIC_0000348,0.26548606,0.26541743,0.76398456,0.7289187
ISIC_0000349,0.27076086,0.30109775,0.62149924,0.6542446
ISIC_0000350,0.10903356,0.33844694,0.72466236,0.69754034
ISIC_0000351,0.26158014,0.35843188,0.7636008,0.64102924
ISIC_0000352,0.34067252,0.34999287,0.6609894,0.67624414
ISIC_0000353,0.20272942,0.29107335,0.7350309,0.78458226
ISIC_0000354,0.1780098,0.1277258,0.82968056,0.8131698
ISIC_0000355,0.12162348,0.185379,0.70895714,0.8578559
ISIC_0000357,0.36141708,0.35254964,0.67729485,0.6348283
ISIC_0000358,0.31688288,0.21625398,0.68671596,0.6659313
ISIC_0000359,0.052015185,0.12503238,0.9144564,0.87152064
ISIC_0000360,0.3555164,0.40018353,0.6214542,0.7070605
ISIC_0000361,0.19945909,0.1973047,0.7984544,0.7883897
ISIC_0000363,0.24988702,0.32064813,0.81332004,0.7484469
ISIC_0000364,0.12564853,0.14285092,0.81308866,0.8493985
ISIC_0000365,0.27069482,0.3290703,0.6583201,0.6983403
ISIC_0000366,0.27834684,0.3099914,0.5386373,0.6165517
ISIC_0000367,0.17383021,0.23889704,0.8042083,0.780073
ISIC_0000368,0.21220635,0.10978688,0.9746671,0.88221246
ISIC_0000369,0.14083914,0.18895033,0.76961386,0.846395
ISIC_0000370,0.19404732,0.23023938,0.8095229,0.7992019
ISIC_0000371,0.27779183,0.16638829,0.898244,0.8698067
ISIC_0000372,0.07799684,0.29114792,0.7012165,0.7399969
ISIC_0000374,0.26952893,0.26596427,0.6602005,0.7071558
ISIC_0000376_downsampled,0.25083634,0.21229601,0.71269286,0.7367406
ISIC_0000377_downsampled,0.2164278,0.3024639,0.6777899,0.7475292
ISIC_0000378_downsampled,0.20379828,0.123662844,0.8024913,0.74808353
ISIC_0000379_downsampled,0.17699908,0.2501098,0.89503616,0.83316195
ISIC_0000380_downsampled,0.069036424,0.2797168,0.9260978,0.9094548
ISIC_0000381_downsampled,0.069629095,0.23568152,0.79751956,0.95389974
ISIC_0000382_downsampled,0.12672286,0.24893461,0.75300837,0.8275077
ISIC_0000383_downsampled,0.20760249,0.19993451,0.8370444,0.8277205
ISIC_0000384_downsampled,0.30383277,0.43779317,0.5979183,0.6838941
ISIC_0000385_downsampled,0.26541588,0.27862185,0.7306461,0.73009205
ISIC_0000386_downsampled,0.29610753,0.34131274,0.70736945,0.7813405
ISIC_0000387_downsampled,0.23894446,0.3398462,0.564875,0.7278205
ISIC_0000388_downsampled,0.3336297,0.34764323,0.64112735,0.70180494
ISIC_0000390_downsampled,0.14050688,0.3154628,0.95397687,0.8314589
ISIC_0000391_downsampled,0.16611174,0.18725047,0.78735065,0.8025129
ISIC_0000392_downsampled,0.19297884,0.29497436,0.7214376,0.6986348
ISIC_0000393_downsampled,0.09074825,0.16072759,0.84085405,0.84869957
ISIC_0000395_downsampled,0.104235366,0.20832467,0.72007614,0.87844604
ISIC_0000396_downsampled,0.2267832,0.2586629,0.8114035,0.7696966
ISIC_0000397_downsampled,0.20715955,0.28004575,0.72327054,0.7730552
ISIC_0000403_downsampled,0.3110566,0.29175758,0.66840845,0.77513313
ISIC_0000407_downsampled,0.11629649,0.28223184,0.8612135,0.76075304
ISIC_0000408_downsampled,0.038371343,0.16324615,0.97303015,0.8125499
ISIC_0000409_downsampled,0.29973635,0.34193173,0.63834906,0.6512082
ISIC_0000410_downsampled,0.260685,0.09307674,0.7296299,0.685555
ISIC_0000412_downsampled,0.18615118,0.1398431,0.9626744,0.90908664
ISIC_0000413_downsampled,0.06924351,0.24925385,0.9469676,0.8515892
ISIC_0000415_downsampled,0.045443464,0.1369338,0.9519521,0.87224877
ISIC_0000416_downsampled,0.27159506,0.26841637,0.59983575,0.70723414
ISIC_0000418_downsampled,0.14066465,0.28441015,0.84259605,0.7040558
ISIC_0000419_downsampled,0.17831273,0.17694725,0.8465676,0.8538525
ISIC_0000420_downsampled,0.13045405,0.31613192,0.83211035,0.68289894
ISIC_0000421_downsampled,0.27694854,0.2925894,0.7059816,0.7369499
ISIC_0000423_downsampled,0.14642166,0.253306,0.7858123,0.777015
ISIC_0000425_downsampled,0.11355114,0.15075819,0.8450917,0.8650207
ISIC_0000426_downsampled,0.057979245,0.13924223,0.9596657,0.83395994
ISIC_0000427_downsampled,0.19796048,0.20318209,0.7229021,0.8057438
ISIC_0000431_downsampled,0.36740854,0.31867385,0.68224573,0.66010654
ISIC_0000433_downsampled,0.06828437,0.14131618,0.90563804,0.8167641
ISIC_0000434_downsampled,0.17862175,0.16508166,0.7719598,0.6742977
ISIC_0000436_downsampled,0.10212394,0.18535458,0.7805916,0.854801
ISIC_0000439_downsampled,0.3272307,0.32439163,0.59579146,0.5925931
ISIC_0000442_downsampled,0.28646785,0.3033197,0.735108,0.6644411
ISIC_0000443_downsampled,0.36119017,0.30026272,0.68238974,0.6145483
ISIC_0000444_downsampled,0.28838545,0.26713473,0.6538336,0.6203009
ISIC_0000445_downsampled,0.38527527,0.34793314,0.7407805,0.6648203
ISIC_0000447_downsampled,0.31245756,0.37588263,0.6770264,0.7603928
ISIC_0000448_downsampled,0.31802538,0.2952331,0.7229904,0.80467
ISIC_0000449_downsampled,0.45245513,0.3717961,0.6411259,0.5647112
ISIC_0000451_downsampled,0.24806936,0.36764562,0.6912141,0.76711905
ISIC_0000452_downsampled,0.07153977,0.25240827,0.89414775,0.80599946
ISIC_0000453_downsampled,0.28924352,0.24154973,0.73938566,0.801063
ISIC_0000455_downsampled,0.12199346,0.27905375,0.8204424,0.77371705
ISIC_0000456_downsampled,0.1725277,0.205406,0.75524414,0.7535553
ISIC_0000457_downsampled,0.2359226,0.1690017,0.7895763,0.7682813
ISIC_0000458,0.24618773,0.25298825,0.7429763,0.8063196
